Asset,Model,RMSE_USD,MAE_USD,MAPE_USD,R2,RMSE
Bitcoin,LSTM (Optimized),2488.558225215465,1777.5508417848614,2.297586666215483,0.944317583048579,0.02876592521475853
Bitcoin,Baseline (LinearRegression),3385.589696403506,2609.6514532095257,3.5861762840042797,0.8472474913942023,0.03913495735313488
Bitcoin,Baseline (RandomForest),4712.425440796838,3508.084873571916,4.948775825337814,0.7040565812303822,0.054472214648845656
Gold,LSTM (Optimized),125.43017656020088,97.13633235630398,2.036770924189142,0.8740664572884146,0.07768498603790844
Gold,Baseline (LinearRegression),142.4494710498196,103.12443705439497,2.1244342135226564,0.6468325524079784,0.08822585978184777
Gold,Baseline (RandomForest),1562.434772807216,1543.6696558667254,31.466351326382863,-41.48765641836259,0.9676915622646464
Silver,LSTM (Optimized),18.069854883770073,15.500038273227926,19.146294681296983,-0.8485877228594141,1.1407736559155193
Silver,Baseline (LinearRegression),7.116538799771693,5.4115083498531105,6.704133791599032,0.49101882188419665,0.44927643505161285
Silver,Baseline (RandomForest),47.528490699342534,46.44743056512648,56.10608221354874,-21.702418538917456,3.000536000094512
