Asset,Model,RMSE,MAE,MAPE,R2,Dir_Acc
Bitcoin,Naive (t=t-1),2053.8522852195038,1427.8587622549019,1.8446194257030535,0.9620719184408515,0.0
Bitcoin,LSTM (Optimized),2488.558994775446,1777.5514147221036,2.297587376190731,0.9443175486101916,54.248366013071895
Bitcoin,Linear Regression,3385.589696403506,2609.6514532095257,3.5861762840042797,0.8472474913942023,54.83870967741935
Bitcoin,Random Forest,4712.425440796841,3508.0848735719173,4.948775825337816,0.7040565812303816,44.086021505376344
Bitcoin,Ensemble (0.3A+0.7L),6315.194655046874,5242.158998011517,7.226216569065149,0.6414118381180152,47.05882352941176
Bitcoin,"ARIMA(1,1,0)",18163.572524253344,14868.274354563722,20.72457346055652,-1.9663678786476533,49.01960784313725
Gold,Naive (t=t-1),86.62202248638108,46.57060291564542,0.9823500044534212,0.9399388016685108,32.6797385620915
Gold,LSTM (Optimized),125.43018115498819,97.13632606626102,2.036770781998311,0.874066448061961,33.98692810457516
Gold,Linear Regression,142.4494710498196,103.12443705439497,2.1244342135226564,0.6468325524079787,32.25806451612903
Gold,Ensemble (0.3A+0.7L),257.1660509958967,203.96340333209008,4.17422015080632,0.47062353976416516,31.372549019607842
Gold,"ARIMA(1,1,0)",661.3546133270197,561.0375829271486,11.558767672050946,-2.501113003050772,27.450980392156865
Gold,Random Forest,1562.434772807216,1543.6696558667254,31.466351326382863,-41.487656418362654,30.107526881720432
Silver,Naive (t=t-1),4.23245295311677,2.106712216645284,2.6585564934945647,0.8985820066539194,32.6797385620915
Silver,Linear Regression,7.116538799771693,5.4115083498531105,6.704133791599032,0.49101882188419643,31.182795698924732
Silver,LSTM (Optimized),18.069855090339686,15.50003837196127,19.146294767263107,-0.848587765124508,27.450980392156865
Silver,Ensemble (0.3A+0.7L),20.894457162391152,18.11774378596705,22.426999535656538,-1.4716838510349404,27.450980392156865
Silver,"ARIMA(1,1,0)",27.618770215372663,24.262280048387407,30.154947067956932,-3.3185644794487317,28.75816993464052
Silver,Random Forest,47.528490699342534,46.44743056512648,56.10608221354874,-21.70241853891746,30.107526881720432
